"","id","face","type","roi","beta"
"147","009","F1","diag","F2diagdiff_insula_l",-0.0797227
"148","009","F1","diag","undiagdiff_IFG_l",-0.0889616
"149","009","F1","diag","undiagdiff_insula_l",-0.0766368
"150","009","F1","diag","undiagdiff_insula_r",-0.154897
"151","009","F1","diag","undiagdiff_IPL_l",-0.217256
"152","009","F1","diag","undiagdiff_precuneus",-0.226921
"153","009","F2","diag","chdiag_PCG_l",-0.108808
"154","009","F2","diag","chdiagdiff_HC_l",0.0260126
"155","009","F2","diag","F2diagdiff_insula_l",-0.176944
"156","009","F2","diag","undiagdiff_IFG_l",-0.0349536
"157","009","F2","diag","undiagdiff_insula_l",-0.170617
"158","009","F2","diag","undiagdiff_insula_r",-0.100195
"159","009","F2","diag","undiagdiff_IPL_l",-0.15987
"160","009","F2","diag","undiagdiff_precuneus",-0.0920873
"161","009","F2","diagdiff","chdiag_PCG_l",-0.0771493
"162","009","F2","diagdiff","chdiagdiff_HC_l",0.0489277
"163","009","F2","diagdiff","F2diagdiff_insula_l",-0.115172
"164","009","F2","diagdiff","undiagdiff_IFG_l",-0.275982
"165","009","F2","diagdiff","undiagdiff_insula_l",-0.122077
"166","009","F2","diagdiff","undiagdiff_insula_r",-0.0824588
"167","009","F2","diagdiff","undiagdiff_IPL_l",-0.0993684
"168","009","F2","diagdiff","undiagdiff_precuneus",-0.0148556
"169","010","F1","diag","chdiag_PCG_l",-0.107327
"170","010","F1","diag","chdiagdiff_HC_l",-0.056624
"171","010","F1","diag","F2diagdiff_insula_l",-0.0594484
"172","010","F1","diag","undiagdiff_IFG_l",-0.0602423
"173","010","F1","diag","undiagdiff_insula_l",-0.056018
"174","010","F1","diag","undiagdiff_insula_r",-0.0447263
"175","010","F1","diag","undiagdiff_IPL_l",-0.0624994
"176","010","F1","diag","undiagdiff_precuneus",-0.118529
"177","010","F2","diag","chdiag_PCG_l",0.159189
"178","010","F2","diag","chdiagdiff_HC_l",0.121931
"179","010","F2","diag","F2diagdiff_insula_l",-0.000524003
"180","010","F2","diag","undiagdiff_IFG_l",-0.00313321
"181","010","F2","diag","undiagdiff_insula_l",-0.0233512
"182","010","F2","diag","undiagdiff_insula_r",0.0711149
"183","010","F2","diag","undiagdiff_IPL_l",-0.0159598
"184","010","F2","diag","undiagdiff_precuneus",0.0177917
"185","010","F2","diagdiff","chdiag_PCG_l",-0.187737
"186","010","F2","diagdiff","chdiagdiff_HC_l",-0.224023
"187","010","F2","diagdiff","F2diagdiff_insula_l",-0.151967
"188","010","F2","diagdiff","undiagdiff_IFG_l",-0.15234
"189","010","F2","diagdiff","undiagdiff_insula_l",-0.121551
"190","010","F2","diagdiff","undiagdiff_insula_r",-0.200308
"191","010","F2","diagdiff","undiagdiff_IPL_l",-0.0548862
"192","010","F2","diagdiff","undiagdiff_precuneus",-0.124878
"193","011","F1","diag","chdiag_PCG_l",0.0675905
"194","011","F1","diag","chdiagdiff_HC_l",0.0138188
"195","011","F1","diag","F2diagdiff_insula_l",0.0354959
"196","011","F1","diag","undiagdiff_IFG_l",0.0281028
"197","011","F1","diag","undiagdiff_insula_l",0.0418236
"198","011","F1","diag","undiagdiff_insula_r",0.0139062
"199","011","F1","diag","undiagdiff_IPL_l",0.016465
"200","011","F1","diag","undiagdiff_precuneus",0.0543589
"201","011","F2","diag","chdiag_PCG_l",-0.0766171
