,id,face,type,roi,beta
1332,23,F2,rel,chirrel_precuences,0.006913
1346,24,F1,irrel,chirrel_precuences,0.0281803
1360,24,F1,rel,chirrel_precuences,0.0144028
1374,24,F2,D,chirrel_precuences,0.146322
1388,24,F2,I,chirrel_precuences,0.0092694
1402,24,F2,irrel,chirrel_precuences,-0.0145044
1416,24,F2,rel,chirrel_precuences,-0.0312288
1430,25,F1,irrel,chirrel_precuences,-0.0215062
1444,25,F1,rel,chirrel_precuences,-0.0489263
1458,25,F2,D,chirrel_precuences,-0.0333075
1472,25,F2,I,chirrel_precuences,0.0903279
1486,25,F2,irrel,chirrel_precuences,3.36E-07
1500,25,F2,rel,chirrel_precuences,-0.0167453
1514,26,F1,irrel,chirrel_precuences,0.00268864
1528,26,F1,rel,chirrel_precuences,0.0604321
1542,26,F2,D,chirrel_precuences,-0.0440306
1556,26,F2,I,chirrel_precuences,0.000923415
1570,26,F2,irrel,chirrel_precuences,-0.083249
1584,26,F2,rel,chirrel_precuences,-0.0031755
1598,27,F1,irrel,chirrel_precuences,-0.0590193
1612,27,F1,rel,chirrel_precuences,-0.00355443
1626,27,F2,D,chirrel_precuences,0.0233204
1640,27,F2,I,chirrel_precuences,0.0200747
1654,27,F2,irrel,chirrel_precuences,0.0166709
1668,27,F2,rel,chirrel_precuences,0.0425881
1682,28,F1,irrel,chirrel_precuences,0.025878
1696,28,F1,rel,chirrel_precuences,-0.0422391
1710,28,F2,D,chirrel_precuences,-0.350068
1724,28,F2,I,chirrel_precuences,0.0582692
1738,28,F2,irrel,chirrel_precuences,-0.148493
1752,28,F2,rel,chirrel_precuences,0.137577
1766,29,F1,irrel,chirrel_precuences,-0.0276509
1780,29,F1,rel,chirrel_precuences,-0.0362634
1794,29,F2,D,chirrel_precuences,-0.0353606
1808,29,F2,I,chirrel_precuences,0.087181
1822,29,F2,irrel,chirrel_precuences,-0.0477181
1836,29,F2,rel,chirrel_precuences,-0.00734215
1850,30,F1,irrel,chirrel_precuences,0.0358081
1864,30,F1,rel,chirrel_precuences,-0.019195
1878,30,F2,D,chirrel_precuences,-0.0757402
1892,30,F2,I,chirrel_precuences,0.0185015
1906,30,F2,irrel,chirrel_precuences,-0.0379105
1920,30,F2,rel,chirrel_precuences,0.024171
1934,31,F1,irrel,chirrel_precuences,-0.0746484
1948,31,F1,rel,chirrel_precuences,0.038156
1962,31,F2,D,chirrel_precuences,-0.0956737
1976,31,F2,I,chirrel_precuences,-0.00678205
1990,31,F2,irrel,chirrel_precuences,-0.0399836
2004,31,F2,rel,chirrel_precuences,-0.0127697
3,1,F1,irrel,chrel_putamen_l,0.000890398
17,1,F1,rel,chrel_putamen_l,-0.0252712
31,1,F2,D,chrel_putamen_l,-0.0184389
45,1,F2,I,chrel_putamen_l,-0.0942566
59,1,F2,irrel,chrel_putamen_l,-0.0335814
73,1,F2,rel,chrel_putamen_l,-0.0425334
87,2,F1,irrel,chrel_putamen_l,-0.000362118
101,2,F1,rel,chrel_putamen_l,-0.0611175
115,2,F2,D,chrel_putamen_l,0.0262014
129,2,F2,I,chrel_putamen_l,-0.125715
143,2,F2,irrel,chrel_putamen_l,0.000186975
157,2,F2,rel,chrel_putamen_l,0.0264692
171,3,F1,irrel,chrel_putamen_l,-0.0293936
185,3,F1,rel,chrel_putamen_l,-0.018847
199,3,F2,D,chrel_putamen_l,-0.0175483
213,3,F2,I,chrel_putamen_l,0.0219415
227,3,F2,irrel,chrel_putamen_l,-0.0157869
241,3,F2,rel,chrel_putamen_l,0.0317604
255,4,F1,irrel,chrel_putamen_l,-0.0300408
269,4,F1,rel,chrel_putamen_l,0.0212152
283,4,F2,D,chrel_putamen_l,-0.0719256
297,4,F2,I,chrel_putamen_l,-0.053362
311,4,F2,irrel,chrel_putamen_l,0.0173644
325,4,F2,rel,chrel_putamen_l,-0.0535994
