"","seq","blockrb","sub","RT","resp","correct","D","I","E","Manhatton","F1_relevant_rank","F1_irrelevant_rank","F2_relevant_rank","F2_irrelevant_rank","rel","irrel","diag1","diag2","diagdiff"
"434",434,4,4,1.9048511,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"435",435,4,4,0.5126002,2,2,1,2,2.2361,3,4,4,3,2,-1,-2,1.414213562,3.535533906,2.1213
"436",436,4,4,0.638868,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"437",437,4,4,1.7432615,1,1,1,1,1.4142,2,3,4,4,3,1,-1,2.121320344,2.121320344,0
"438",438,4,4,0.4220114,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"439",439,4,4,1.5165531,2,2,2,2,2.8284,4,3,3,1,1,-2,-2,2.828427125,5.656854249,2.8284
"440",440,4,4,2.0000471,NA,1,1,2,2.2361,3,3,4,4,2,1,-2,2.121320344,2.828427125,0.7071
"441",441,5,4,1.1329213,2,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"442",442,5,4,2.0001253,NA,1,1,3,3.1623,4,3,1,4,4,1,3,4.242640687,1.414213562,2.8284
"443",443,5,4,0.4390813,2,1,2,2,2.8284,4,1,4,3,2,2,-2,3.535533906,3.535533906,0
"444",444,5,4,0.5450087,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"445",445,5,4,0.4031455,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"446",446,5,4,0.3151083,1,1,3,2,3.6056,5,1,3,4,1,3,-2,4.242640687,3.535533906,0.7071
"447",447,5,4,0.3956939,1,1,1,3,3.1623,4,1,1,2,4,1,3,5.656854249,2.828427125,2.8284
"448",448,5,4,0.588679,2,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"449",449,5,4,0.4631101,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"450",450,5,4,2.0000156,NA,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"451",451,5,4,0.4817689,2,2,1,1,1.4142,2,4,3,3,2,-1,-1,2.121320344,3.535533906,1.4142
"452",452,5,4,0.3951573,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"453",453,5,4,1.9813094,2,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"454",454,5,4,1.5993758,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"455",455,5,4,0.6369872,2,2,3,2,3.6056,5,4,4,1,2,-3,-2,1.414213562,4.949747468,3.5355
"456",456,5,4,2.0000135,NA,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"457",457,5,4,0.7080712,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"458",458,5,4,1.8106439,2,2,1,1,1.4142,2,2,2,1,3,-1,1,4.242640687,4.242640687,0
"459",459,5,4,0.3420181,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"460",460,5,4,1.4003217,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"461",461,6,4,1.2299055,2,2,1,2,2.2361,3,2,4,1,2,-1,-2,2.828427125,4.949747468,2.1213
"462",462,6,4,1.6198164,1,1,1,1,1.4142,2,3,2,4,3,1,1,3.535533906,2.121320344,1.4142
"463",463,6,4,0.4733773,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
