,run,id,block,ACC
102,1,4,2,0.21875
103,1,4,3,0.28125
104,1,4,4,0.28125
105,1,4,5,0.40625
106,1,4,6,0.3125
107,1,4,7,0.34375
108,1,4,8,0.375
109,1,4,9,0.375
110,1,4,10,0.53125
111,1,4,11,0.53125
112,1,4,12,0.375
113,1,4,13,0.4375
114,1,4,14,0.53125
115,1,4,15,0.65625
116,1,4,16,0.65625
117,1,4,17,0.65625
118,1,4,18,0.75
119,1,4,19,0.71875
120,1,4,20,0.75
121,1,4,21,0.71875
122,1,4,22,0.78125
123,1,4,23,0.90625
124,1,4,24,0.875
125,1,4,25,0.875
126,1,4,26,0.875
127,1,4,27,0.90625
128,1,4,28,0.9375
129,1,4,29,0.96875
130,1,4,30,0.96875
131,1,4,31,1
132,1,4,32,0.96875
133,1,4,33,1
134,1,4,34,1
135,1,4,35,1
136,1,4,36,1
137,1,4,37,1
139,1,6,1,0.3125
140,1,6,2,0.28125
141,1,6,3,0.25
142,1,6,4,0.28125
143,1,6,5,0.34375
144,1,6,6,0.3125
145,1,6,7,0.375
146,1,6,8,0.5625
147,1,6,9,0.625
148,1,6,10,0.625
149,1,6,11,0.625
150,1,6,12,0.65625
151,1,6,13,0.59375
152,1,6,14,0.65625
153,1,6,15,0.71875
154,1,6,16,0.71875
155,1,6,17,0.71875
156,1,6,18,0.71875
157,1,6,19,0.75
158,1,6,20,0.78125
159,1,6,21,0.78125
160,1,6,22,0.71875
161,1,6,23,0.78125
162,1,6,24,0.8125
163,1,6,25,0.78125
164,1,6,26,0.78125
165,1,6,27,0.78125
166,1,6,28,0.78125
167,1,6,29,0.90625
168,1,6,30,0.90625
169,1,6,31,0.90625
170,1,6,32,0.875
171,1,6,33,0.875
172,1,6,34,0.90625
173,1,6,35,0.9375
174,1,6,36,0.9375
175,1,6,37,1
176,1,7,1,0.25
177,1,7,2,0.375
178,1,7,3,0.21875
179,1,7,4,0.25
180,1,7,5,0.375
181,1,7,6,0.375
182,1,7,7,0.34375
183,1,7,8,0.5
184,1,7,9,0.5
185,1,7,10,0.4375
186,1,7,11,0.53125
187,1,7,12,0.53125
188,1,7,13,0.5625
189,1,7,14,0.65625
190,1,7,15,0.65625
191,1,7,16,0.75
192,1,7,17,0.75
193,1,7,18,0.78125
194,1,7,19,0.78125
195,1,7,20,0.78125
196,1,7,21,0.78125
197,1,7,22,0.90625
198,1,7,23,0.9375
199,1,7,24,0.9375
200,1,7,25,0.9375
201,1,7,26,0.96875
202,1,7,27,0.96875
203,1,7,28,1
204,1,7,29,1
205,1,7,30,1
206,1,9,1,0.34375
207,1,9,2,0.28125
208,1,9,3,0.40625
209,1,9,4,0.3125
210,1,9,5,0.21875
211,1,9,6,0.34375
