"","run","id","face","FaceCue","cue","speed"
"310",1,"015",11,"r_11",1,2.39789527279837
"311",1,"015",14,"b_14",2,2.39789527279837
"312",1,"015",7,"b_7",2,1.94591014905531
"313",1,"015",14,"r_14",1,1.94591014905531
"314",1,"015",9,"b_9",2,2.07944154167984
"315",1,"015",16,"r_16",1,1.94591014905531
"316",1,"015",10,"r_10",1,1.94591014905531
"317",1,"015",13,"r_13",1,2.07944154167984
"318",1,"015",4,"b_4",2,1.94591014905531
"319",1,"015",3,"r_3",1,2.19722457733622
"320",1,"015",8,"b_8",2,1.94591014905531
"321",1,"017",8,"r_8",1,2.07944154167984
"322",1,"017",10,"b_10",2,2.19722457733622
"323",1,"017",15,"b_15",2,1.94591014905531
"324",1,"017",7,"r_7",1,2.63905732961526
"325",1,"017",2,"b_2",2,2.77258872223978
"326",1,"017",1,"r_1",1,2.30258509299405
"327",1,"017",12,"b_12",2,2.77258872223978
"328",1,"017",16,"b_16",2,2.07944154167984
"329",1,"017",3,"b_3",2,2.77258872223978
"330",1,"017",13,"b_13",2,2.19722457733622
"331",1,"017",12,"r_12",1,1.94591014905531
"332",1,"017",6,"r_6",1,2.77258872223978
"333",1,"017",9,"r_9",1,2.63905732961526
"334",1,"017",5,"r_5",1,2.30258509299405
"335",1,"017",15,"r_15",1,1.94591014905531
"336",1,"017",5,"b_5",2,2.484906649788
"337",1,"017",11,"b_11",2,2.19722457733622
"338",1,"017",2,"r_2",1,2.77258872223978
"339",1,"017",4,"r_4",1,1.79175946922805
"340",1,"017",6,"b_6",2,2.39789527279837
"341",1,"017",1,"b_1",2,2.77258872223978
"342",1,"017",11,"r_11",1,2.77258872223978
"343",1,"017",14,"b_14",2,2.07944154167984
"344",1,"017",7,"b_7",2,1.94591014905531
"345",1,"017",14,"r_14",1,2.77258872223978
"346",1,"017",9,"b_9",2,2.39789527279837
"347",1,"017",16,"r_16",1,1.79175946922805
"348",1,"017",10,"r_10",1,2.19722457733622
"349",1,"017",13,"r_13",1,2.19722457733622
"350",1,"017",4,"b_4",2,2.39789527279837
"351",1,"017",3,"r_3",1,2.30258509299405
"352",1,"017",8,"b_8",2,2.70805020110221
"353",1,"018",8,"r_8",1,2.30258509299405
"354",1,"018",10,"b_10",2,2.07944154167984
"355",1,"018",15,"b_15",2,2.30258509299405
"356",1,"018",7,"r_7",1,2.30258509299405
"357",1,"018",2,"b_2",2,2.30258509299405
"358",1,"018",1,"r_1",1,2.30258509299405
"359",1,"018",12,"b_12",2,2.07944154167984
"360",1,"018",16,"b_16",2,2.30258509299405
"361",1,"018",3,"b_3",2,2.30258509299405
"362",1,"018",13,"b_13",2,2.19722457733622
"363",1,"018",12,"r_12",1,2.30258509299405
"364",1,"018",6,"r_6",1,2.30258509299405
"365",1,"018",9,"r_9",1,2.30258509299405
"366",1,"018",5,"r_5",1,2.30258509299405
"367",1,"018",15,"r_15",1,2.30258509299405
"368",1,"018",5,"b_5",2,2.30258509299405
"369",1,"018",11,"b_11",2,2.30258509299405
"370",1,"018",2,"r_2",1,2.30258509299405
"371",1,"018",4,"r_4",1,2.30258509299405
"372",1,"018",6,"b_6",2,2.30258509299405
"373",1,"018",1,"b_1",2,2.30258509299405
"374",1,"018",11,"r_11",1,2.30258509299405
"375",1,"018",14,"b_14",2,2.30258509299405
"376",1,"018",7,"b_7",2,2.30258509299405
"377",1,"018",14,"r_14",1,2.30258509299405
"378",1,"018",9,"b_9",2,2.07944154167984
"379",1,"018",16,"r_16",1,2.19722457733622
"380",1,"018",10,"r_10",1,2.30258509299405
"381",1,"018",13,"r_13",1,2.19722457733622
"382",1,"018",4,"b_4",2,2.30258509299405
"383",1,"018",3,"r_3",1,2.30258509299405
"384",1,"018",8,"b_8",2,2.30258509299405
"385",1,"019",8,"r_8",1,2.07944154167984
"386",1,"019",10,"b_10",2,2.07944154167984
"387",1,"019",15,"b_15",2,2.39789527279837
"388",1,"019",7,"r_7",1,2.63905732961526
"389",1,"019",2,"b_2",2,1.94591014905531
"390",1,"019",1,"r_1",1,2.07944154167984
"391",1,"019",12,"b_12",2,2.77258872223978
"392",1,"019",16,"b_16",2,2.30258509299405
"393",1,"019",3,"b_3",2,2.484906649788
"394",1,"019",13,"b_13",2,1.94591014905531
"395",1,"019",12,"r_12",1,2.30258509299405
"396",1,"019",6,"r_6",1,2.19722457733622
"397",1,"019",9,"r_9",1,2.30258509299405
"398",1,"019",5,"r_5",1,2.484906649788
"399",1,"019",15,"r_15",1,2.70805020110221
"400",1,"019",5,"b_5",2,2.70805020110221
"401",1,"019",11,"b_11",2,2.77258872223978
"402",1,"019",2,"r_2",1,2.30258509299405
"403",1,"019",4,"r_4",1,2.19722457733622
"404",1,"019",6,"b_6",2,2.56494935746154
"405",1,"019",1,"b_1",2,2.30258509299405
"406",1,"019",11,"r_11",1,2.77258872223978
"407",1,"019",14,"b_14",2,2.19722457733622
"408",1,"019",7,"b_7",2,2.56494935746154
"409",1,"019",14,"r_14",1,2.63905732961526
"410",1,"019",9,"b_9",2,2.70805020110221
"411",1,"019",16,"r_16",1,2.19722457733622
"412",1,"019",10,"r_10",1,2.30258509299405
"413",1,"019",13,"r_13",1,1.79175946922805
"414",1,"019",4,"b_4",2,1.79175946922805
"415",1,"019",3,"r_3",1,2.63905732961526
"416",1,"019",8,"b_8",2,2.19722457733622
"417",1,"021",8,"r_8",1,2.39789527279837
"418",1,"021",10,"b_10",2,2.19722457733622
"419",1,"021",15,"b_15",2,1.94591014905531
"420",1,"021",7,"r_7",1,1.94591014905531
"421",1,"021",2,"b_2",2,2.63905732961526
"422",1,"021",1,"r_1",1,1.94591014905531
"423",1,"021",12,"b_12",2,2.07944154167984
"424",1,"021",16,"b_16",2,2.63905732961526
"425",1,"021",3,"b_3",2,2.89037175789616
"426",1,"021",13,"b_13",2,1.94591014905531
"427",1,"021",12,"r_12",1,2.63905732961526
"428",1,"021",6,"r_6",1,2.70805020110221
"429",1,"021",9,"r_9",1,2.56494935746154
"430",1,"021",5,"r_5",1,2.19722457733622
"431",1,"021",15,"r_15",1,2.83321334405622
"432",1,"021",5,"b_5",2,2.83321334405622
"433",1,"021",11,"b_11",2,2.56494935746154
"434",1,"021",2,"r_2",1,2.70805020110221
"435",1,"021",4,"r_4",1,2.484906649788
"436",1,"021",6,"b_6",2,2.30258509299405
"437",1,"021",1,"b_1",2,2.39789527279837
"438",1,"021",11,"r_11",1,2.70805020110221
"439",1,"021",14,"b_14",2,2.56494935746154
"440",1,"021",7,"b_7",2,2.07944154167984
"441",1,"021",14,"r_14",1,2.63905732961526
"442",1,"021",9,"b_9",2,2.83321334405622
"443",1,"021",16,"r_16",1,1.79175946922805
"444",1,"021",10,"r_10",1,2.39789527279837
"445",1,"021",13,"r_13",1,2.19722457733622
"446",1,"021",4,"b_4",2,2.30258509299405
"447",1,"021",3,"r_3",1,2.77258872223978
"448",1,"021",8,"b_8",2,2.77258872223978
"449",1,"022",8,"r_8",1,2.484906649788
"450",1,"022",10,"b_10",2,2.484906649788
"451",1,"022",15,"b_15",2,1.94591014905531
"452",1,"022",7,"r_7",1,2.70805020110221
"453",1,"022",2,"b_2",2,2.56494935746154
"454",1,"022",1,"r_1",1,2.07944154167984
"455",1,"022",12,"b_12",2,2.70805020110221
"456",1,"022",16,"b_16",2,2.56494935746154
"457",1,"022",3,"b_3",2,2.484906649788
"458",1,"022",13,"b_13",2,1.94591014905531
"459",1,"022",12,"r_12",1,2.39789527279837
"460",1,"022",6,"r_6",1,2.484906649788
"461",1,"022",9,"r_9",1,2.30258509299405
"462",1,"022",5,"r_5",1,2.07944154167984
"463",1,"022",15,"r_15",1,2.07944154167984
"464",1,"022",5,"b_5",2,2.70805020110221
"465",1,"022",11,"b_11",2,2.484906649788
"466",1,"022",2,"r_2",1,2.70805020110221
"467",1,"022",4,"r_4",1,2.484906649788
"468",1,"022",6,"b_6",2,2.63905732961526
"469",1,"022",1,"b_1",2,2.70805020110221
"470",1,"022",11,"r_11",1,2.63905732961526
"471",1,"022",14,"b_14",2,2.39789527279837
"472",1,"022",7,"b_7",2,2.30258509299405
"473",1,"022",14,"r_14",1,2.70805020110221
"474",1,"022",9,"b_9",2,2.39789527279837
"475",1,"022",16,"r_16",1,2.30258509299405
"476",1,"022",10,"r_10",1,2.30258509299405
"477",1,"022",13,"r_13",1,1.94591014905531
"478",1,"022",4,"b_4",2,2.63905732961526
"479",1,"022",3,"r_3",1,2.63905732961526
"480",1,"022",8,"b_8",2,2.56494935746154
"481",1,"023",8,"r_8",1,1.38629436111989
"482",1,"023",10,"b_10",2,2.07944154167984
"483",1,"023",15,"b_15",2,2.70805020110221
"484",1,"023",7,"r_7",1,2.07944154167984
"485",1,"023",2,"b_2",2,1.79175946922805
"486",1,"023",1,"r_1",1,1.38629436111989
"487",1,"023",12,"b_12",2,1.38629436111989
"488",1,"023",16,"b_16",2,2.83321334405622
"489",1,"023",3,"b_3",2,2.30258509299405
"490",1,"023",13,"b_13",2,1.09861228866811
"491",1,"023",12,"r_12",1,2.19722457733622
"492",1,"023",6,"r_6",1,1.79175946922805
"493",1,"023",9,"r_9",1,2.30258509299405
"494",1,"023",5,"r_5",1,2.63905732961526
"495",1,"023",15,"r_15",1,1.09861228866811
"496",1,"023",5,"b_5",2,2.07944154167984
"497",1,"023",11,"b_11",2,1.94591014905531
"498",1,"023",2,"r_2",1,1.38629436111989
"499",1,"023",4,"r_4",1,2.39789527279837
"500",1,"023",6,"b_6",2,2.19722457733622
"501",1,"023",1,"b_1",2,2.83321334405622
"502",1,"023",11,"r_11",1,2.56494935746154
"503",1,"023",14,"b_14",2,1.79175946922805
"504",1,"023",7,"b_7",2,2.63905732961526
"505",1,"023",14,"r_14",1,1.09861228866811
"506",1,"023",9,"b_9",2,1.6094379124341
"507",1,"023",16,"r_16",1,2.484906649788
"508",1,"023",10,"r_10",1,1.38629436111989
"509",1,"023",13,"r_13",1,1.09861228866811
"510",1,"023",4,"b_4",2,2.83321334405622
"511",1,"023",3,"r_3",1,1.79175946922805
"512",1,"023",8,"b_8",2,1.6094379124341
"513",1,"024",8,"r_8",1,2.77258872223978
"514",1,"024",10,"b_10",2,2.07944154167984
"515",1,"024",15,"b_15",2,2.30258509299405
"516",1,"024",7,"r_7",1,2.19722457733622
"517",1,"024",2,"b_2",2,2.484906649788
"518",1,"024",1,"r_1",1,2.30258509299405
"519",1,"024",12,"b_12",2,2.89037175789616
"520",1,"024",16,"b_16",2,2.63905732961526
"521",1,"024",3,"b_3",2,2.83321334405622
"522",1,"024",13,"b_13",2,2.07944154167984
"523",1,"024",12,"r_12",1,2.39789527279837
"524",1,"024",6,"r_6",1,2.63905732961526
"525",1,"024",9,"r_9",1,1.94591014905531
"526",1,"024",5,"r_5",1,1.94591014905531
"527",1,"024",15,"r_15",1,2.83321334405622
"528",1,"024",5,"b_5",2,2.63905732961526
"529",1,"024",11,"b_11",2,2.39789527279837
"530",1,"024",2,"r_2",1,2.63905732961526
"531",1,"024",4,"r_4",1,2.39789527279837
"532",1,"024",6,"b_6",2,2.63905732961526
"533",1,"024",1,"b_1",2,2.63905732961526
"534",1,"024",11,"r_11",1,2.19722457733622
"535",1,"024",14,"b_14",2,2.484906649788
"536",1,"024",7,"b_7",2,2.83321334405622
"537",1,"024",14,"r_14",1,2.63905732961526
"538",1,"024",9,"b_9",2,2.63905732961526
"539",1,"024",16,"r_16",1,2.484906649788
"540",1,"024",10,"r_10",1,1.94591014905531
"541",1,"024",13,"r_13",1,1.79175946922805
"542",1,"024",4,"b_4",2,2.56494935746154
"543",1,"024",3,"r_3",1,2.30258509299405
"544",1,"024",8,"b_8",2,2.77258872223978
"545",1,"025",8,"r_8",1,2.94443897916644
"546",1,"025",10,"b_10",2,2.19722457733622
"547",1,"025",15,"b_15",2,2.99573227355399
"548",1,"025",7,"r_7",1,2.19722457733622
"549",1,"025",2,"b_2",2,2.99573227355399
"550",1,"025",1,"r_1",1,2.77258872223978
"551",1,"025",12,"b_12",2,2.63905732961526
"552",1,"025",16,"b_16",2,2.99573227355399
"553",1,"025",3,"b_3",2,2.99573227355399
"554",1,"025",13,"b_13",2,2.56494935746154
"555",1,"025",12,"r_12",1,2.99573227355399
"556",1,"025",6,"r_6",1,2.19722457733622
"557",1,"025",9,"r_9",1,2.63905732961526
"558",1,"025",5,"r_5",1,2.94443897916644
