scenario,scenario_family,rho,noise_level,expected,recovered,n,proportion
true_both_warps,positive_control,1.0,1.5,neither,task_only,19,0.038
true_congruency_warp,positive_control,0.5,0.5,congruency_only,both,16,0.032
true_congruency_warp,positive_control,0.5,0.5,congruency_only,congruency_only,484,0.968
true_congruency_warp,positive_control,0.5,1.0,congruency_only,both,15,0.03
true_congruency_warp,positive_control,0.5,1.0,congruency_only,congruency_only,485,0.97
true_congruency_warp,positive_control,0.5,1.5,congruency_only,both,16,0.032
true_congruency_warp,positive_control,0.5,1.5,congruency_only,congruency_only,484,0.968
true_congruency_warp,positive_control,0.6,0.5,congruency_only,both,16,0.032
true_congruency_warp,positive_control,0.6,0.5,congruency_only,congruency_only,484,0.968
true_congruency_warp,positive_control,0.6,1.0,congruency_only,both,23,0.046
true_congruency_warp,positive_control,0.6,1.0,congruency_only,congruency_only,477,0.954
true_congruency_warp,positive_control,0.6,1.5,congruency_only,both,15,0.03
true_congruency_warp,positive_control,0.6,1.5,congruency_only,congruency_only,485,0.97
true_congruency_warp,positive_control,0.7,0.5,congruency_only,both,7,0.014
true_congruency_warp,positive_control,0.7,0.5,congruency_only,congruency_only,493,0.986
true_congruency_warp,positive_control,0.7,1.0,congruency_only,both,16,0.032
true_congruency_warp,positive_control,0.7,1.0,congruency_only,congruency_only,484,0.968
true_congruency_warp,positive_control,0.7,1.5,congruency_only,both,18,0.036
true_congruency_warp,positive_control,0.7,1.5,congruency_only,congruency_only,482,0.964
true_congruency_warp,positive_control,0.8,0.5,congruency_only,both,16,0.032
true_congruency_warp,positive_control,0.8,0.5,congruency_only,congruency_only,484,0.968
true_congruency_warp,positive_control,0.8,1.0,congruency_only,both,17,0.034
true_congruency_warp,positive_control,0.8,1.0,congruency_only,congruency_only,483,0.966
true_congruency_warp,positive_control,0.8,1.5,congruency_only,both,22,0.044
true_congruency_warp,positive_control,0.8,1.5,congruency_only,congruency_only,478,0.956
true_congruency_warp,positive_control,0.9,0.5,congruency_only,both,23,0.046
true_congruency_warp,positive_control,0.9,0.5,congruency_only,congruency_only,477,0.954
true_congruency_warp,positive_control,0.9,1.0,congruency_only,both,21,0.042
true_congruency_warp,positive_control,0.9,1.0,congruency_only,congruency_only,479,0.958
true_congruency_warp,positive_control,0.9,1.5,congruency_only,both,14,0.028
true_congruency_warp,positive_control,0.9,1.5,congruency_only,congruency_only,486,0.972
true_congruency_warp,positive_control,1.0,0.5,neither,congruency_only,10,0.02
true_congruency_warp,positive_control,1.0,0.5,neither,neither,480,0.96
true_congruency_warp,positive_control,1.0,0.5,neither,task_only,10,0.02
true_congruency_warp,positive_control,1.0,1.0,neither,congruency_only,20,0.04
true_congruency_warp,positive_control,1.0,1.0,neither,neither,465,0.93
true_congruency_warp,positive_control,1.0,1.0,neither,task_only,15,0.03
true_congruency_warp,positive_control,1.0,1.5,neither,congruency_only,19,0.038
true_congruency_warp,positive_control,1.0,1.5,neither,neither,465,0.93
true_congruency_warp,positive_control,1.0,1.5,neither,task_only,16,0.032
true_task_warp,positive_control,0.5,0.5,task_only,both,17,0.034
true_task_warp,positive_control,0.5,0.5,task_only,task_only,483,0.966
true_task_warp,positive_control,0.5,1.0,task_only,both,16,0.032
true_task_warp,positive_control,0.5,1.0,task_only,task_only,484,0.968
true_task_warp,positive_control,0.5,1.5,task_only,both,11,0.022
true_task_warp,positive_control,0.5,1.5,task_only,task_only,489,0.978
true_task_warp,positive_control,0.6,0.5,task_only,both,8,0.016
true_task_warp,positive_control,0.6,0.5,task_only,task_only,492,0.984
true_task_warp,positive_control,0.6,1.0,task_only,both,13,0.026
true_task_warp,positive_control,0.6,1.0,task_only,task_only,487,0.974
true_task_warp,positive_control,0.6,1.5,task_only,both,11,0.022
true_task_warp,positive_control,0.6,1.5,task_only,task_only,489,0.978
true_task_warp,positive_control,0.7,0.5,task_only,both,8,0.016
true_task_warp,positive_control,0.7,0.5,task_only,task_only,492,0.984
true_task_warp,positive_control,0.7,1.0,task_only,both,14,0.028
true_task_warp,positive_control,0.7,1.0,task_only,task_only,486,0.972
true_task_warp,positive_control,0.7,1.5,task_only,both,14,0.028
true_task_warp,positive_control,0.7,1.5,task_only,task_only,486,0.972
true_task_warp,positive_control,0.8,0.5,task_only,both,12,0.024
true_task_warp,positive_control,0.8,0.5,task_only,task_only,488,0.976
true_task_warp,positive_control,0.8,1.0,task_only,both,13,0.026
true_task_warp,positive_control,0.8,1.0,task_only,task_only,487,0.974
true_task_warp,positive_control,0.8,1.5,task_only,both,11,0.022
true_task_warp,positive_control,0.8,1.5,task_only,task_only,489,0.978
true_task_warp,positive_control,0.9,0.5,task_only,both,11,0.022
true_task_warp,positive_control,0.9,0.5,task_only,task_only,489,0.978
true_task_warp,positive_control,0.9,1.0,task_only,both,20,0.04
true_task_warp,positive_control,0.9,1.0,task_only,task_only,480,0.96
true_task_warp,positive_control,0.9,1.5,task_only,both,14,0.028
true_task_warp,positive_control,0.9,1.5,task_only,task_only,486,0.972
true_task_warp,positive_control,1.0,0.5,neither,both,1,0.002
true_task_warp,positive_control,1.0,0.5,neither,congruency_only,12,0.024
true_task_warp,positive_control,1.0,0.5,neither,neither,474,0.948
true_task_warp,positive_control,1.0,0.5,neither,task_only,13,0.026
true_task_warp,positive_control,1.0,1.0,neither,congruency_only,20,0.04
true_task_warp,positive_control,1.0,1.0,neither,neither,462,0.924
true_task_warp,positive_control,1.0,1.0,neither,task_only,18,0.036
true_task_warp,positive_control,1.0,1.5,neither,both,1,0.002
true_task_warp,positive_control,1.0,1.5,neither,congruency_only,16,0.032
true_task_warp,positive_control,1.0,1.5,neither,neither,463,0.926
true_task_warp,positive_control,1.0,1.5,neither,task_only,20,0.04
