family,region,neural_condition,behavior_task,behavior_definition,behavior_variable,n,r,p_parametric,p_permutation,p_fwe_max,survives_fwe_05
representational_warping,ECr,congruent,rbCue,raw,rbCue_raw_congruent,24,0.1240218971,0.5636811291,0.5629243708,1,False
representational_warping,Insular,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.1243528156,0.5626329438,0.5639343607,1,False
representational_warping,HCr,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.1233298743,0.5658759365,0.5665943341,1,False
representational_warping,precuneus,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1227841486,0.567609437,0.5717142829,1,False
representational_warping,mPFC,attention,wCue,raw,wCue_raw_attention,24,-0.1203525377,0.5753620415,0.5731642684,1,False
representational_warping,IPLr,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.1195160393,0.5780397252,0.582404176,1,False
representational_warping,IPLl,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1171690223,0.5855816117,0.5857441426,1,False
representational_warping,Insulal,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.116524675,0.587659558,0.5877841222,1,False
representational_warping,precuneusl,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.1140501968,0.5956687719,0.6004239958,1,False
representational_warping,Amyl,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1110612212,0.6054044557,0.6060639394,1,False
representational_warping,precuneus,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1094207682,0.6107757318,0.6098839012,1,False
representational_warping,Amyr,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.1067003511,0.61972608,0.6200537995,1,False
representational_warping,MFGl,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.1042888738,0.6277041039,0.6240437596,1,False
representational_warping,precuneusl,attention,rbCue,raw,rbCue_raw_attention,24,0.1053492948,0.6241907997,0.625603744,1,False
representational_warping,MFG_bilateral,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.1053512513,0.624184325,0.6257237428,1,False
representational_warping,MFG_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.1020923028,0.6350065575,0.6399136009,1,False
representational_warping,MFG_bilateral,congruent,wCue,raw,wCue_raw_congruent,24,0.09503169249,0.6587011649,0.6585734143,1,False
representational_warping,ECl,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.09504455381,0.658657704,0.6592734073,1,False
representational_warping,EC_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,0.09472337657,0.659743345,0.6617233828,1,False
representational_warping,MFG_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.09333617832,0.664439977,0.6631433686,1,False
representational_warping,precuneusl,congruent,rbCue,raw,rbCue_raw_congruent,24,0.09368649476,0.6632527464,0.6697833022,1,False
