family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.201453572,0.3451908203,0.3464065359,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.2004155462,0.3477343855,0.3478265217,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_I,rel,choice_effect_legacy_gaussian_glm,24,-0.1991865227,0.3507602548,0.3496865031,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.198397947,0.3527098837,0.360696393,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1941694762,0.3632724388,0.3622463775,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.1934052737,0.3652008165,0.3665263347,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.1917774777,0.369328136,0.3702562974,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.1911874801,0.3708307211,0.3705362946,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.1910134124,0.3712747037,0.3740462595,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.1899086467,0.3740996968,0.37499625,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.1881674503,0.3785771146,0.3773662263,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.1888875186,0.3767217811,0.3801361986,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.186247996,0.3835482781,0.3857561424,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,0.184256728,0.3887444858,0.3885061149,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.1810021133,0.3973226197,0.3946860531,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F1_rel,rel,choice_effect_legacy_gaussian_glm,24,0.181150036,0.3969304564,0.3981560184,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.1789453031,0.4027979786,0.4012259877,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.1789453031,0.4027979786,0.4012259877,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.1775798008,0.4064561296,0.4056659433,1,False
