family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3045768723,0.1478673303,0.1484485155,1,False
representational_warping,wCue,Amy_bilateral,congruent,wCue_adjusted_congruent,adjusted,24,-0.3035370129,0.1493257938,0.1484785152,1,False
representational_warping,wCue,HCr,attention,wCue_raw_attention,raw,24,-0.303442705,0.149458569,0.1506084939,1,False
representational_warping,rbCue,Insulal,attention,rbCue_raw_attention,raw,24,0.3024958925,0.1507962209,0.1510784892,1,False
time_resolved_roi_coding,wCue,undiagdiff_IFG_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2994159187,0.1552062294,0.1524684753,1,False
representational_warping,rbCue,Insulal,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2988652858,0.1560041336,0.1562884371,1,False
representational_warping,wCue,precuneus,congruent,wCue_raw_congruent,raw,24,0.29683815,0.1589665161,0.1584784152,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.2949081086,0.1618235782,0.1623683763,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2913285906,0.1672173903,0.1652183478,1,False
representational_warping,wCue,HC_bilateral,attention,wCue_raw_attention,raw,24,-0.2903694562,0.1686837456,0.1684083159,1,False
representational_warping,wCue,Amyl,congruent,wCue_adjusted_congruent,adjusted,24,-0.2862778228,0.1750398934,0.1748382516,1,False
representational_warping,rbCue,precuneusr,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2878180337,0.1726280491,0.1755782442,1,False
time_resolved_roi_coding,rbCue,F1rel_IPL_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.2866587909,0.1744411644,0.1759082409,1,False
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2855838448,0.176134209,0.1763482365,1,False
representational_warping,wCue,ECl,attention,wCue_raw_attention,raw,24,-0.2845297319,0.1778054689,0.1764782352,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2847602744,0.1774390175,0.1765482345,1,False
representational_warping,rbCue,precuneus_bilateral,congruent,rbCue_adjusted_congruent,adjusted,24,-0.2870078323,0.1738938609,0.1774082259,1,False
representational_warping,rbCue,precuneus,congruent,rbCue_adjusted_congruent,adjusted,24,-0.284785719,0.1773986049,0.1813781862,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.2774193416,0.1893657883,0.1913580864,1,False
