"","id","roi","model","TR","var","LL"
"275",4,"Hippo_L","I",1099,0.243902522348808,-784.076293663861
"276",4,"Hippo_R","I",1099,0.313941752218114,-922.791424873896
"279",4,"mPFC","I",1099,0.515083613970996,-1194.86084215965
"281",6,"Amy_L","I",1099,0.086206015528329,-212.580530731194
"282",6,"Amy_R","I",1099,0.0956989279877311,-269.985221770794
"283",6,"EC_L","I",1099,0.776282858096398,-1420.25899260284
"284",6,"EC_R","I",1099,1.59400122787045,-1815.61636718807
"285",6,"Hippo_L","I",1099,0.0695376667296505,-94.5087031056316
"286",6,"Hippo_R","I",1099,0.067934146267765,-81.6889920763722
"289",6,"mPFC","I",1099,0.117082575244189,-380.804183909549
"291",7,"Amy_L","I",1112,0.416547797035263,-1090.94038868831
"292",7,"Amy_R","I",1112,0.472402781092137,-1160.90228994191
"293",7,"EC_L","I",1112,1.83277820884692,-1914.70277609817
"294",7,"EC_R","I",1112,2.99545458387261,-2187.84502546603
"295",7,"Hippo_L","I",1112,0.119266247357639,-395.582965679957
"296",7,"Hippo_R","I",1112,0.168786565980473,-588.668770235021
"299",7,"mPFC","I",1112,0.25500798414669,-818.107653215906
"301",9,"Amy_L","I",1112,0.841413972128462,-1481.85429372615
"302",9,"Amy_R","I",1112,0.297303734399928,-903.431099591275
"303",9,"EC_L","I",1112,4.42677952894808,-2405.00547610877
"304",9,"EC_R","I",1112,3.90514412474053,-2335.29549676077
"305",9,"Hippo_L","I",1112,0.31322344240029,-932.433459800919
"306",9,"Hippo_R","I",1112,0.163271016929374,-570.196508160932
"309",9,"mPFC","I",1112,0.677732701317696,-1361.57436199422
"311",10,"Amy_L","I",1112,0.984171291080493,-1568.98849057098
"312",10,"Amy_R","I",1112,1.2556065995108,-1704.41570285413
"313",10,"EC_L","I",1112,5.1956938929097,-2494.05323178797
"314",10,"EC_R","I",1112,9.66559790754952,-2839.18622242202
"315",10,"Hippo_L","I",1112,0.461050147071778,-1147.37750349342
"316",10,"Hippo_R","I",1112,0.701182494494825,-1380.48682615303
"319",10,"mPFC","I",1112,1.08916823856314,-1625.35001143146
"321",11,"Amy_L","I",1112,0.110649736879733,-353.88926063962
"322",11,"Amy_R","I",1112,0.118450335775709,-391.766247342548
"323",11,"EC_L","I",1112,1.11117230024439,-1636.47071382857
"324",11,"EC_R","I",1112,0.769823136144553,-1432.41311591038
"325",11,"Hippo_L","I",1112,0.102037816770146,-308.838698264393
"326",11,"Hippo_R","I",1112,0.0744298583006561,-133.428307322113
"329",11,"mPFC","I",1112,0.232073918940849,-765.710814805614
"331",15,"Amy_L","I",1112,0.153225656186364,-534.890625606242
"332",15,"Amy_R","I",1112,0.0987622735316122,-290.697634661589
"333",15,"EC_L","I",1112,2.23067221226208,-2023.94010609508
"334",15,"EC_R","I",1112,1.04055426272682,-1599.96260388532
"335",15,"Hippo_L","I",1112,0.101544018018196,-306.141476827158
"336",15,"Hippo_R","I",1112,0.0993065215544152,-293.753165565629
"339",15,"mPFC","I",1112,0.532284019487481,-1227.25824707323
"341",17,"Amy_L","I",1112,0.307129994545316,-921.510441498026
"342",17,"Amy_R","I",1112,0.270359267880531,-850.60965694426
"343",17,"EC_L","I",1112,1.12076049185714,-1641.24779972511
"344",17,"EC_R","I",1112,0.737352116543225,-1408.4521585897
"345",17,"Hippo_L","I",1112,0.116034792862142,-380.310600847437
"346",17,"Hippo_R","I",1112,0.097203530871829,-281.852426186087
"349",17,"mPFC","I",1112,0.273218299173935,-856.458448925914
"351",18,"Amy_L","I",1112,0.162586993204551,-567.862253744668
"352",18,"Amy_R","I",1112,0.0879100795953243,-225.978558729761
"353",18,"EC_L","I",1112,0.27651603918971,-863.129181732383
"354",18,"EC_R","I",1112,0.245634174508412,-797.284607299001
"355",18,"Hippo_L","I",1112,0.0738824140621415,-129.323719426189
"356",18,"Hippo_R","I",1112,0.0680644279521284,-83.720541740231
"359",18,"mPFC","I",1112,0.0855227304468423,-210.670613556469
"361",19,"Amy_L","I",1112,1.01744491685748,-1587.47539153665
"362",19,"Amy_R","I",1112,0.427614454869473,-1105.51913648662
"363",19,"EC_L","I",1112,3.79988542554603,-2320.10347772236
"364",19,"EC_R","I",1112,0.935692040966059,-1540.90295570011
"365",19,"Hippo_L","I",1112,0.728733642865484,-1401.91512413106
"366",19,"Hippo_R","I",1112,0.29123800558712,-891.970010562634
"369",19,"mPFC","I",1112,1.51045306691564,-1807.15941440006
"371",21,"Amy_L","I",1112,0.109224883828144,-346.68306845652
"372",21,"Amy_R","I",1112,0.143866124656747,-499.846760367545
"373",21,"EC_L","I",1112,5.89090766157918,-2563.87565781082
"374",21,"EC_R","I",1112,0.712578414860809,-1389.45053269937
