"","id","roi","model","TR","var","LL"
"125",19,"Hippo_L","D1",547,0.841765089171562,-729.047827940011
"126",19,"Hippo_R","D1",547,0.411808027319619,-533.510727034142
"129",19,"mPFC","D1",547,0.286621360274374,-434.395627494505
"131",21,"Amy_L","D1",547,0.914349830043043,-751.669631216576
"132",21,"Amy_R","D1",547,0.297629474588972,-444.703103081198
"133",21,"EC_L","D1",547,3.5589335802478,-1123.35694581356
"134",21,"EC_R","D1",547,2.16159981635135,-986.986470655716
"135",21,"Hippo_L","D1",547,0.584105716561948,-629.105732567306
"136",21,"Hippo_R","D1",547,0.250273313036987,-397.30671103452
"139",21,"mPFC","D1",547,1.296693272183,-847.21943304706
"141",22,"Amy_L","D1",547,0.490597175483477,-581.391301797512
"142",22,"Amy_R","D1",547,0.26034744514602,-408.099976524287
"143",22,"EC_L","D1",547,2.97780051858699,-1074.59846066482
"144",22,"EC_R","D1",547,1.10992628597549,-804.683678381017
"145",22,"Hippo_L","D1",547,0.147918052156756,-253.474386395267
"146",22,"Hippo_R","D1",547,0.17509381459179,-299.603852248393
"149",22,"mPFC","D1",547,1.09445372659849,-800.844218340648
"151",23,"Amy_L","D1",547,0.184947877375775,-314.578559202381
"152",23,"Amy_R","D1",547,0.112159295477097,-177.786467659212
"153",23,"EC_L","D1",547,1.83368789123624,-941.990408418019
"154",23,"EC_R","D1",547,0.229721378784746,-373.871482044665
"155",23,"Hippo_L","D1",547,0.0482222456449648,53.0748001178776
"156",23,"Hippo_R","D1",547,0.0550981885753462,16.6182352898357
"159",23,"mPFC","D1",547,0.170920948515195,-293.006826184015
"161",24,"Amy_L","D1",547,0.0868769546368989,-107.92709049535
"162",24,"Amy_R","D1",547,0.113945520796281,-182.107850956618
"163",24,"EC_L","D1",547,0.500616158781928,-586.920455134528
"164",24,"EC_R","D1",547,0.218570649905566,-360.262703177488
"165",24,"Hippo_L","D1",547,0.0671792516637294,-37.6024845279362
"166",24,"Hippo_R","D1",547,0.0488120928425157,49.7496845326995
"169",24,"mPFC","D1",547,0.0892647629571532,-115.342773656939
"171",25,"Amy_L","D1",547,0.258482669800491,-406.133944721225
"172",25,"Amy_R","D1",547,0.128595205837337,-215.187425715968
"173",25,"EC_L","D1",547,0.568343929885937,-621.624073847565
"174",25,"EC_R","D1",547,0.270361638419172,-418.422795861822
"175",25,"Hippo_L","D1",547,0.106061001099035,-162.4962501747
"176",25,"Hippo_R","D1",547,0.0889677032677409,-114.431089023879
"179",25,"mPFC","D1",547,0.0898988858383105,-117.278806254675
"181",26,"Amy_L","D1",547,0.145072645485538,-248.161977515808
"182",26,"Amy_R","D1",547,0.34860781739994,-487.942965964331
"183",26,"EC_L","D1",547,0.364167106558692,-499.885422308636
"184",26,"EC_R","D1",547,0.265788851767836,-413.757361441147
"185",26,"Hippo_L","D1",547,0.0710058878075734,-52.7539347899696
"186",26,"Hippo_R","D1",547,0.0724979443450312,-58.4414786391243
"189",26,"mPFC","D1",547,0.114022989025781,-182.293732432971
"191",27,"Amy_L","D1",547,0.174764244859287,-299.088572716785
"192",27,"Amy_R","D1",547,0.522935292939975,-598.849998985216
"193",27,"EC_L","D1",547,2.71966877603106,-1049.798889842
"194",27,"EC_R","D1",547,0.969329550107392,-767.639679832891
